Box1,Box2,cDNA Name,Gene symbol,Biblio data,comments,Complexes,ENSDARG,Epigenetic,Function,Gene Name,GO component,GO function,GO process,Modification,NR-NS,Original Name,ovaries,pattern,PMID,polymerase,primers,Sequence,size,star,submission ZFIN,target entity,Target moleculres,Vector,ZDB_gene,ZFIN probe ID
V332,,FR_9524,casp8ap2,,,,,,,caspase 8 associated protein 2,NA,DNA binding,biological_process,,NR,N4952 ,,NR,,T3,ADX299-M13F or PU,BC091840,2070,,17 th sending,,,pDNR-LIB,ZDB-GENE-030826-8,
V333,,FR_9543,zgc:113278,,,,,,,zgc:113278,membrane ; integral component of membrane,molecular_function,protein transport ; transport,,NR,N4981 ,,NR,,T3,ADX299-M13F or PU,BC091895,1650,,17 th sending,,,pDNR-LIB,ZDB-GENE-050327-66,
V334,,FR_9566,phf23b,,,,ENSDARG00000036305,,,PHD finger protein 23b,cytoplasm ; nucleus,metal ion binding ; zinc ion binding,negative regulation of autophagosome maturation ; negative regulation of autophagosome assembly ; positive regulation of protein ubiquitination ; autophagy,,NR,N5010 ,,NR,,T3,ADX299-M13F or PU,BC095292,2536,,17 th sending,,,pDNR-LIB,ZDB-GENE-030131-5895, ZDB-CDNA-050522-526
V335,,FR_9588,npsn,,,,,,,nephrosin,cellular_component,peptidase activity ; metal ion binding ; hydrolase activity ; metallopeptidase activity ; metalloendopeptidase activity ; zinc ion binding,proteolysis,,,N5041,tested,"G - MS : Ø
24 h - 5 d: macrophages +++",,T3,ADX299-M13F or PU,BC095288,1392,4,,,,pDNR-LIB,ZDB-GENE-040420-2,
V336,,FR_9613,idh3g,,,,,,,isocitrate dehydrogenase 3 (NAD+) gamma,mitochondrion,"isocitrate dehydrogenase (NAD+) activity ; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; metal ion binding ; oxidoreductase activity ; NAD binding ; magnesium ion binding",tricarboxylic acid cycle ; oxidation-reduction process,,NR,N5071 ,,NR,,T3,ADX299-M13F or PU,BC093425,1417,,17 th sending,,,pDNR-LIB,ZDB-GENE-050417-435,
V337,,FR_9640,pqlc2,,,,,,,PQ loop repeat containing 2,membrane ; integral component of membrane,molecular_function,biological_process,,,N5101,tested-OV,NR + YSL,,T3,ADX299-M13F or PU,BC090740,1765,0,,,,pDNR-LIB,ZDB-GENE-050306-4,
V338,,FR_9664,psmb2,,,,ENSDARG00000031511,,,proteasome subunit beta 2,proteasome core complex ; proteasome complex ; cytoplasm ; nucleus,threonine-type endopeptidase activity ; peptidase activity ; hydrolase activity ; endopeptidase activity,proteolysis involved in cellular protein catabolic process ; proteolysis,,NR,N5132 ,,NR,,T7,AIC287-M13F or PU,BC075983,763,,17 th sending,,,pExpress-1,ZDB-GENE-040718-353, ZDB-CDNA-040718-388
V339,,FR_9686,tsta3,,,,,,,tissue specific transplantation antigen P35B,cellular_component,GDP-L-fucose synthase activity ; coenzyme binding ; catalytic activity,'de novo' GDP-L-fucose biosynthetic process,,,N5161,tested-OV,"G : EVL, margin
ES - MS : EVL, somites, adaxial cells
24 - 36 h : weak NR
48 h : lateral line neuromasts, pectoral fin, nose",,T3,ACY9-ACY10,BC086741,1708,1,,,,pME18S-FL3,ZDB-GENE-040722-1,
V340,,FR_9708,gc,,,,,,,group-specific component (vitamin D binding protein),extracellular space,vitamin transporter activity ; vitamin D binding,vitamin transport ; transport,,,N5192,tested,"G - 48 ; Ø
5 d: liver +++",,T3,ACY9-ACY10,BC095239,1541,3,,,,pME18S-FL3,ZDB-GENE-040718-307,
V341,,FR_9731,eef1da,,,,ENSDARG00000102291,,,eukaryotic translation elongation factor 1 delta a (guanine nucleotide exchange protein),eukaryotic translation elongation factor 1 complex,translation elongation factor activity,translational elongation ; translation,,NR,N5221 ,,"± NR, more in myotomes",,T3,ACY9-ACY10,BC096865,919,,17 th sending,,,pME18S-FL3,ZDB-GENE-040426-2740, ZDB-CDNA-050612-214
V342,,FR_9752,abcf1,,,,ENSDARG00000031795,,,"ATP-binding cassette, sub-family B (MDR/TAP), member 11b",membrane ; integral component of membrane,"nucleotide binding ; canalicular bile acid transmembrane transporter activity ; ATP binding ; ATPase activity ; ATPase activity, coupled to transmembrane movement of substances",bile acid and bile salt transport ; transport ; canalicular bile acid transport ; transmembrane transport,,NR,N5251 ,,NR,,T7,T7-SP6,BC068351,3465,,17 th sending,,,pCMV-SPORT6.1,ZDB-GENE-050517-14, ZDB-CDNA-040425-3181
V343,,FR_9773,lsm14aa,,,,,,,LSM14A mRNA processing body assembly factor a,cellular_component,molecular_function,biological_process,,NR,N5281 ,,NR,,T3,ACY9-ACY10,BC055387,2135,,20 th sending ,,,pME18S-FL3,ZDB-GENE-040426-1567,
V344,,FR_9788,rbm4.3,,,,,,,RNA binding motif protein 4.3,cellular_component,nucleotide binding ; protein kinase activity ; ATP binding ; nucleic acid binding,protein phosphorylation,,NR,N5315 ,,NR,,T7,T7-SP6,BC067153,1805,,17 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-1938,
V345,,FR_9810,slc25a5,,,,ENSDARG00000092553,,,"solute carrier family 25 (mitochondrial carrier  adenine nucleotide translocator), member 5",mitochondrial inner membrane ; membrane ; integral component of membrane,transporter activity ; structural constituent of ribosome,transport ; translation ; transmembrane transport,,NR,N5341 ,,NR,,T7,AIC287-M13F or PU,BC065434,1287,,17 th sending,,,pExpress-1,ZDB-GENE-020419-9, ZDB-CDNA-040425-851
V36,V444,CB991,shbg,,,,,,,sex hormone-binding globulin,NA,androgen binding ; steroid binding,NA,,,DG3347,,"G : EVL
ES : ±Ø
MS : Ø
24 h : epidermis, mucous cells
36 - 48 h : epidermal cells",,T7,PU-RP,CF673234,1.2,2,sending CB,,,pBSIISK+,ZDB-GENE-030131-1324,
V37,V444,CB987,zgc:174890,,,,,,,zgc:174890,,,,,,DG3533,,G - 48 h : evl,,T7,PU-RP,CF673230,1.7,2,sending CB,,,pBSIISK+,ZDB-GENE-030131-6213,
V38,V444,CB985,mibp2,,,,,,,muscle-specific beta 1 integrin binding protein 2,NA,NA,basement membrane assembly ; cell-substrate adherens junction assembly ; integrin-mediated signaling pathway ; muscle organ development,,,DG3590,,"G    : Ø
ES : anterior neural plate, eye field, midbrain
MS : eye, tectum, somites
24 h : eye, tectum, myotomes (Ø in myoseptum)
36 h : lens, posterior tectum
48 h : lens, posterior tectum, branchial arches, liver, intestinal bulb, pectoral fin muscles, hypaxial muscles, pancreas primordium",,T7,PU-RP,CF673228,1.3,2,sending CB,,,pBSIISK+,ZDB-GENE-031113-14,
V39,V445,CB852,capza1a,,,,,,,"capping protein (actin filament) muscle Z-line, alpha 1a",F-actin capping protein complex ; Z disc,actin binding,actin filament capping ; barbed-end actin filament capping,,,GA6,,"G : not expressed 
ES : weak and not restricted, adaxial cells
MS : not restricted, cenral part of myotomes, nothing in the myoseptum
36-48h : not restricted + myotomes
",,T7,ABJ249-ABJ250,CF416963,2,1,sending CB,,,pBK CMV,ZDB-GENE-030131-5237,
V4,V408,CB150,zcchc17,,,,,,,"zinc finger, CCHC domain containing 17",NA,nucleic acid binding ; zinc ion binding,NA,,,DS186,,"G : involuated mesoderm, prechordal plate, forerunners
ES : anterior notochord, paraxial mesoderm of segmental plate (nothing in tail bud), adaxial ++, weak in telencephalon
MS : somites, ear, weak in telencephalon
24 hrs : same + lens
36 - 48 hrs : weak in tegmentum, hindbrain, forebrain",,T7,PU-RP,BM259646BM259647,1.8,3,ZDB-GENE-040426-1979,,,pBSIISK+,ZDB-GENE-040325-2,
V40,V445,CB865,hspa5,,,,,,,heat shock protein 5,extracellular region,nucleotide binding ; ATP binding,response to yeast ; response to hypoxia,,,GA70,,"G : YSl, axis
ES : YSL, notochord, polster
MS : hatching gland, trigeminal ganglion, otic vesicle, notochord
24h : epidermis, floor plate, hypochord, posterior notochord
36h : caudal fin epidermis, blood cells, AER pectoral fin, otic vesicle, lateral line neuromast (anteriorly) 
48h : not restricted, epidermis, mucous cells ++, otic vesicle, subpopulation of blood cells, AER pectoral fin, lateral line neuromasts
pattern variabla d’un embryon à l’autre, surtout pour le marquage dans l’épiderme.
5d : lateral line, pancreas, liver, gut
",,T7,ABJ249-ABJ250,,2.1,3,sending CB,,,pBK CMV,ZDB-GENE-031001-11,
V41,V446,CB877,pah,,,,,,,phenylalanine hydroxylase,NA,"phenylalanine 4-monooxygenase activity ; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen ; iron ion binding ; amino acid binding ; metal ion binding ; monooxygenase activity",aromatic amino acid family metabolic process ; cellular response to estrogen stimulus ; metabolic process ; L-phenylalanine catabolic process ; oxidation-reduction process,,,GA150,,"G – ES : Ø
MS : neural crest cells in cephalic region, weak in notochord
24 h : neural crest cells migrating in lateral pathway, retina, pigmented epithelium
36 h : same, + caudal fin epidermis
48 h : same, + lens
5 d : median fins epidermis, liver, epidermis on one branchial arche (lower jaw)
",,T7,ABJ249-ABJ250,CF569052 ,2.4,4,sending CB,,,pBK CMV,ZDB-GENE-031006-2,
V42,V446,CB884,notch2,,,,,,,notch 2,membrane ; integral component of membrane,calcium ion binding,regulation of developmental process ; cartilage development involved in endochondral bone morphogenesis ; lymphangiogenesis ; Notch signaling pathway ; vasculature development ; tissue regeneration ; liver development ; multicellular organism development ; cell differentiation ; face morphogenesis,,,GA222,,"G : involuted paraxial mesoderm (Ø in axis)
ES : notochord, somites
MS : otic vesicle, somites
24 h : caudal somites, branchial arches
36 h : cells around the eye, choroid fissure, otic vesicle
48 h : cells around the eye, choroid fissure, otic vesicle
",,T7,ABJ249-ABJ250,CF569057 ,2.8,2,sending CB,,,pBK CMV,ZDB-GENE-000329-4,
V43,V447,CB1000,pepd,,,,,,,peptidase D,,,,,,GA351,,"G – ES : Ø
MS :YSL
24 – 36 h : YSL, migrating neural crest cells, axial vasculature
48 h : Ø
",,T7,ABJ249-ABJ250,CF924871,1.9,1,sending CB,,,pBK CMV,ZDB-GENE-030131-9444,
V44,V447,CB917,si:ch211-217k17.8,,,,,,,si:ch211-217k17.8,,,,,,GA436,,"G  - 48h : EVL
48 h : + pharynx and fin epidermis
",,T7,ABJ249-ABJ250,CF569073 ,2.4,2,sending CB,,,pBK CMV,ZDB-GENE-031010-46,
V45,V447,CB931,sema6dl,,,,,,,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D, like",membrane ; integral component of plasma membrane ; integral component of membrane,chemorepellent activity ; semaphorin receptor binding,semaphorin-plexin signaling pathway ; negative regulation of axon extension involved in axon guidance ; positive regulation of cell migration ; neural crest cell migration,,,GA525,,"G : Ø
ES : anterior neural plate, rhombomere 3 and 5 +++, posterior notochord
24 h : weak in rhombomere 3 and 5
36 – 48 h : CNS NR
",,T7,ABJ249-ABJ250,CF569082 ,1.6,2,sending CB,,,pBK CMV,ZDB-GENE-050417-171,
V455,,EU13,arl8,,,,,,,ADP-ribosylation factor-like 8,intracellular,nucleotide binding ; GTP binding,small GTPase mediated signal transduction,,,EU13,,not restricted more in central nervous system subventricular zone ≥ 24 h,,T3 RNA polymerase,,NM_199824,1.1,0,EU - 1 st sending,,,PCR,ZDB-GENE-030131-5762,
V456,,EU52,cdv3,,,,,,,carnitine deficiency-associated gene expressed in ventricle 3,cytoplasm,NA,NA,,,EU52,,"G - ES : weak and not restricted
MS : not restricted
24 h : ± not restricted weak, lens, MHB, myotomes
36 h : ± not restricted, lens, posterior tectum, pectoral fin
48 h : lens",,T3 RNA polymerase,,NM_212721,1.2,0,EU - 1 st sending,,,PCR,ZDB-GENE-030131-6034,
V457,,EU103,lpar1,,,,,,,lysophosphatidic acid receptor 1,membrane ; integral component of membrane,lysophosphatidic acid receptor activity ; transferase activity ; kinase activity ; signal transducer activity ; G-protein coupled receptor activity,hemangioblast cell differentiation ; lymphangiogenesis ; signal transduction ; G-protein coupled receptor signaling pathway ; phosphorylation ; primitive hemopoiesis ; angiogenesis,,,EU103,,"G - ES : not expressed
MS : trigeminal ganglia, spinal chord neurons, ventral anterior spinal chord
24 h :  trigeminal ganglia, spinal chord neurons, ventral anterior spinal chord, nose
5 d: not spatially restricted, more in cranial ganglia",,T3 RNA polymerase,,NM_001004502,0.9,0,EU - 1 st sending,,,PCR,ZDB-GENE-030616-499,
V458,,EU149,cdk9,"CDK9 functions to guide a complex network of chromatin modifications including histone H2B monoubiquitination (H2Bub1), H3 lysine 4 trimethylation (H3K4me3) and H3K36me3. UniProt: Protein kinase involved in the regulation of transcription. Part of the complex P-TEFb involved in cotranscriptional histone modification.",,#,,epi,Histone modification cofactor,cyclin-dependent kinase 9 (CDC2-related kinase),NA,transferase activity ; nucleotide binding ; protein kinase activity ; ATP binding ; kinase activity,protein phosphorylation ; phosphorylation,#,,EU149,,NR,19844166,T3 RNA polymerase,,NM_212591,1.1,,EU - 1 st sending,#,#,PCR,ZDB-GENE-030131-321,
V459,,EU195,cnot6a,,,,,,,"CCR4-NOT transcription complex, subunit 6a",.,,,,,EU195,,NR,,T3 RNA polymerase,,NM_199840,0.95,,EU - 1 st sending,,,PCR,ZDB-GENE-030131-2768,
V46,V448,CB1002,jam2a,,,,,,,junctional adhesion molecule 2a,membrane ; integral component of membrane,protein heterodimerization activity ; protein binding,hematopoietic or lymphoid organ development ; myoblast fusion,,,GA623,,"G : not expressed
ES : anterior somites weak
MS : somites, not in adaxial cells, weak in midbrain hindbrain boundary
24h : not restricted in the head, posterior myotomes
36h : aorta wall
48h : head muscles, pectoral fins, hypaxial muscles
",,T7,ABJ249-ABJ250,CF924873,1.2,3,sending CB,,,pBK CMV,ZDB-GENE-031204-3,
V460,,EU251,sb:eu251,,,,,,,sb:eu251,,,,,,EU251,,"G - MS : not expressed
24h : caudal most notochord, lateral line primordium, tail epidermis (mainly in the axis)
36 h : caudal most notochord, lateral line primordium, tail epidermis (mainly in the axis), caudal vein
48 h : lateral line, tail epidermis, tail non axial part (posteriorly), caudal vein",,T3 RNA polymerase,,ENSDARG00000002672,0,2,EU - 1 st sending,,,PCR,ZDB-GENE-051107-11,
V461,,EU301,nog3,,,,,,,noggin 3,extracellular region ; extracellular space,molecular_function,negative regulation of cell differentiation ; cloaca development ; embryonic viscerocranium morphogenesis ; negative regulation of BMP signaling pathway ; multicellular organism development ; nervous system development ; cell differentiation ; determination of left/right symmetry ; cartilage development ; dorsal/ventral pattern formation ; pronephros development ; osteoblast differentiation,,,EU301,,"G - 36 h : not expressed
(24 h : tip of notochord)
48 h : trabecula cranii, part of lower jaw, pectoral fin cartilage",,T3 RNA polymerase,,ENSDARG00000004625,0,2,EU - 1 st sending,,,PCR,ZDB-GENE-990714-8,
V462,,EU351,prox1a,,,,,,,prospero homeobox 1a,nucleus,"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding ; DNA binding",neuromast hair cell differentiation ; neuromast deposition ; lymphangiogenesis ; forebrain neuron development ; lymphatic endothelial cell differentiation ; cardiac muscle cell differentiation ; negative regulation of sequence-specific DNA binding transcription factor activity ; positive regulation of transcription from RNA polymerase II promoter ; myofibril assembly,,,EU351,,"G : not expressed
ES : lens placode
MS : lens, midbrain forebrain boundary, lateral line, adaxial cells
24 - 36 h : lens, midbrain forebrain boundary, ratke’s pouch, mucous cells, hindbrain and spinal chord neurons, caudal somites (slow muscles fibers), lateral line, liver, part of pancreas
48 h : retina, dorsal hindbrain, cranial ganglia, liver, habenula (less on left side), nucleus in diencephalon
5 d : retina intermediate cell layer, habenula (less on left), microglial cells",,T3,,DU644490,1,4,EU - 2nd sending,,,PCR,ZDB-GENE-980526-397,
V463,,EU402,hoxb1a,,,,,,,homeobox B1a,nucleus,sequence-specific DNA binding ; DNA binding,"rhombomere 4 development ; facial nerve development ; rhombomere 4 morphogenesis ; hindbrain maturation ; cell migration in hindbrain ; facial nucleus development ; transcription, DNA-templated ; multicellular organism development ; regulation of transcription, DNA-templated",,,EU402,,"G : not expressed
ES : notochord, anterior spinal chord, one rhombomere (Rh4)
MS : rhombomere 4, ventral mesenchyme and spinal chord 
24 - 36  h : rhombomere 4, cells in ventral part of rhombomere 5, one posterior branchial arch, one endoderm primordium
48 h : rhombomere 4, one posterior branchial arch",,T3,,DU644573,0.9,4,EU - 2nd sending,,,PCR,ZDB-GENE-990415-101,
V464,,EU451,pou1f1,,,,,,,POU class 1 homeobox 1,nucleus,"sequence-specific DNA binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","transcription, DNA-templated ; regulation of transcription, DNA-templated ; cell fate specification",,,EU451,,"G - MS : not expressed
24 - 48 h : adenohypophysis",,T3,,DU644625,0.5,4,EU - 2nd sending,,,PCR,ZDB-GENE-040630-7,
V465,,EU500,hoxc6b,,,,,,,homeobox C6b,nucleus,"sequence-specific DNA binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","transcription, DNA-templated ; multicellular organism development ; regulation of transcription, DNA-templated",,,EU500,,"G : margin
ES : segmental plate, part of spinal chord
MS : somites, spinal chord (2/3 posterior of the embryo), tail bud
24 - 48 h : spinal chord, ventral part of anterior somites, + neurons in marginal zone in anterior spinal chord",,T3,,DU644527,0.55,4,EU - 2nd sending,,,PCR,ZDB-GENE-000822-1,
V466,,EU550,pxk,,,,,,,PX domain containing serine/threonine kinase,plasma membrane ; cytoplasm,protein kinase activity ; ATP binding ; actin binding ; phosphatidylinositol binding,negative regulation of ion transport ; negative regulation of ATPase activity ; protein phosphorylation ; regulation of membrane potential,,,EU550,,NR,,T3,,"DU644656,DU645113",0.4,,EU - 2nd sending,,,PCR,ZDB-GENE-050208-393,
V467,,EU600,dhh,,,,,,,desert hedgehog,extracellular region ; membrane ; plasma membrane ; extracellular space,peptidase activity ; metal ion binding ; hydrolase activity,intein-mediated protein splicing ; cell communication ; multicellular organism development ; cell-cell signaling ; proteolysis,,,EU600,,no labelleing,,T3,,DU644949,0.5,,EU - 2nd sending,,,PCR,ZDB-GENE-990714-5,
V468,,EU650,klf1,,,,,,,Kruppel-like factor 1 (erythroid),nucleus,"metal ion binding ; nucleic acid binding ; sequence-specific DNA binding ; transcription factor activity, sequence-specific DNA binding",positive regulation of gene expression ; primitive erythrocyte differentiation,,,EU650,,"G - MS : Ø
24 h : ICM weak
36 h : blood weak
> Ø",,T3,,DU644792,1,1,EU - 2nd sending,,,PCR,ZDB-GENE-980526-55,
V469,,EU700,sb:eu700,,,,,,,sb:eu700,,,,,,EU700,,"G : Ø
ES : weak in adaxial cells
MS : somites
24 h : myotomes
36 h : myotomes (decreasing)
48 h : pectoral fin muscles",,T3,,DU644886,1.7,2,EU - 2nd sending,,,PCR,ZDB-GENE-060130-150,
V47,V448,CB1009,hipk2,,,,,,,homeodomain interacting protein kinase 2,NA,transferase activity ; nucleotide binding ; protein kinase activity ; ATP binding ; kinase activity ; DNA binding,regulation of melanocyte differentiation ; convergent extension ; protein phosphorylation ; phosphorylation,,,GA681,,"G-ES : not expressed
ES : weak in notochord
MS : caudal notochord
24 : NR, dorsal diencephalon, corpuscule of Stannuis
36-48h : idem
",,T7,ABJ249-ABJ250,CF924880,2.5,2,sending CB,,,pBK CMV,ZDB-GENE-031125-4,
V470,,EU750,hoxb6b,,,,,,,homeobox B6b,nucleus,"sequence-specific DNA binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","transcription, DNA-templated ; multicellular organism development ; regulation of transcription, DNA-templated",,,EU750,,"G : margin
ES : posterior part of the embryo
MS : posterior spinal chord, somites, tail bud
24 - 36 h :posterior spinal chord, neurons in lateral part of anterior spinal chord
48 h-5d : anterior spinal chord",,T3,,DU644874,0.6,4,EU - 2nd sending,,,PCR,ZDB-GENE-000823-7,
V471,,EU800,nccrp1,,,,,,,non-specific cytotoxic cell receptor protein 1,cytoplasm,NA,NA,,,EU800,,"G - MS : Ø
24 - 36 h : proctodeum, subpopulation of blood cells
48h : proctodeum",,T3,,DU644790,0.507,1,EU - 2nd sending,,,PCR,ZDB-GENE-000210-13,
V472,,EU850,tlr20.4,,,,,,,"toll-like receptor 20, tandem duplicate 4",membrane ; integral component of membrane,NA,signal transduction,,,EU850,,NR weak,,T3,,DU644956,1.4,,EU - 2nd sending,,,PCR,ZDB-GENE-071002-1,
V473,,EU902,ubap2l,,,,,,,ubiquitin associated protein 2-like,,,,,,EU902,,NR,,T3,,DU645144,0.5,,EU - 2nd sending,,,PCR,ZDB-GENE-060503-244,
V474,,EU1000,khsrp,,,,,,,KH-type splicing regulatory protein,NA,nucleic acid binding ; RNA binding,NA,,,EU1000,,NR more in eye and tectum,,T3,,DU645105,0.45,,EU - 2nd sending,,,PCR,ZDB-GENE-030131-4357,
V475,,EU1001,khsrp,,,,,,,KH-type splicing regulatory protein,NA,nucleic acid binding ; RNA binding,NA,,,EU1001,,no labelling,,T3,,DU645106,0.5,,EU - 2nd sending,,,PCR,ZDB-GENE-030131-4357,
V476,,EU1051,serpinb5l,,,,,,,"serpin peptidase inhibitor, clade B (ovalbumin), member 5, like",.,,,,,EU1051,,"G - ES : Ø
MS - 48 h : YSL
48 h - 5 d : liver",,T3,,DX503523,1.5,2,,,,PCR,ZDB-GENE-040426-2047,
V477,,EU1100,casc1,,,,,,,cancer susceptibility candidate 1,,,,,,EU1100,,"G : weak NR, forerunner cells
ES : Kupffer’s vesicle
MS : ventral spinal chord, pronephric ducts
> Ø",,T3,,DX503406,0.5,1,,,,PCR,ZDB-GENE-041210-153,
V478,,EU1152,pcloa,,,,,,,piccolo presynaptic cytomatrix protein a,synapse ; membrane,metal ion binding,NA,,,EU1152,,"G :  Ø
ES : transient expression in anterior pronephric ducts
MS : anterior pronephric ducts, neurons in dorsal postion
24h-36h : neurons in marginal zone, cranial ganglia (lateral line)
48h : CNS marginal zone, lateral line ganglia, ganglion cell layer retina
5d : CNS marginal zone, lateral line ganglia, ganglion cell layer and photoreceptor layer of retina

",,T3,,DX503344,1.1,3,,,,PCR,ZDB-GENE-030131-8115,
V479,,EU1201,nitr9,,,,,,,novel immune-type receptor 9,membrane ; integral component of membrane,protein binding,response to bacterium ; phosphatidylinositol 3-kinase signaling,,NR,EU1201 ,,NR weak,,T3,,DX503500,0.7,,,,,PCR,ZDB-GENE-041001-6,
V48,V449,CB1018,sb:cb1018,,,,,,,sb:cb1018,,,,,,GA794,,"G, ES  : Ø, MS : very weak in Rh3 and Rh5 (fainter), notochord, 24 hrs : anterior otic vesicle, posterior lateral line primordium, Rh3 and Rh5, 36 hrs : LL (anterior and posterior), spots in anterior part of otic vesicle, 48 hrs : Ø, > all lateral line (including LL nerve), Thymus +++, one nucleus in dorsal diencephalon",,T7,ABJ249-ABJ250,CF924889,1.1,4,sending CB,,,pBK CMV,ZDB-GENE-031204-19,
V480,,EU1257,pnocb,,,,,,,prepronociceptin b ,NA,NA,ectodermal placode development ; synaptic transmission ; neuropeptide signaling pathway,,,EU1257,,"G : prechordal plate ++
ES : prechordal plate (?) (polster + posterior region of prechordal plate, or telencephalon ?)
MS : cells under the eye in mesoderm (?)
24 h: nose, neurons in anterior midbrain and in hindbrain
36 : same + neurons in dorsal telencephalon, dorsal anterior spinal chord
48 h : same + cells below the heart
5 d: cells in different part of the brain, retina (neurons ?) small population, nose
(have a look of oligodendrocyte but not identical to oligodendrocytes)",,T3,,DX503457,1,4,_,,,PCR,ZDB-GENE-050208-412,
V481,,EU1313,ttna,,,,,,,"titin, tandem duplicate 2",.,structural molecule activity conferring elasticity ; protein kinase activity ; ATP binding ; muscle alpha-actinin binding ; actin filament binding ; DNA binding ; structural constituent of muscle,cardiac myofibril assembly ; cardiac muscle fiber development ; skeletal muscle myosin thick filament assembly ; striated muscle contraction ; skeletal muscle thin filament assembly ; cardiac muscle tissue morphogenesis ; nucleosome assembly ; protein phosphorylation ; heart contraction ; cell morphogenesis ; sarcomere organization,,,EU1313,,"G - MS : Ø
24 h : sclerotome, dermis (?), cells between somites (?)
36 - 48 h : same
5 d: same + cleithrum, anterior branchial arches",,T3,,DX503824,0.604,3,,,,PCR,ZDB-GENE-030113-2,
V482,,EU1353,si:busm1-153o2.2,,,,,,,si:busm1-153o2.2,,,,,,EU1353,,"G-36h :  Ø
48h-5d : midbrain ventricular zone to dorsal diencephalon",,T3,,DX503872,0.2,,,,,PCR,ZDB-GENE-030616-167,
V483,,EU1403,cttnbp2nlb,,,,,,,CTTNBP2 N-terminal like b,,,,,,EU1403,,"G :  Ø
ES : adaxial cells (anterior somites), dorsal neurons, neural crest
MS : adaxial cells (anterior somites), dorsal neurons, neural crest, telencephalon, somites
24h : CNS marginal zone, axial vasculature
36h : leteral line neuromasts
48h : retina, pectoral fins",,T3,,DX503652,1,2,_,,,PCR,ZDB-GENE-040724-65,
V484,,EU1477,gabrr1,,,,,,,"gamma-aminobutyric acid (GABA) A receptor, rho 1",cell junction ; synapse ; membrane ; GABA-A receptor complex ; plasma membrane ; integral component of membrane,extracellular ligand-gated ion channel activity ; GABA-A receptor activity,ion transport ; transport,,,EU1477 ,,"G-48h : Ø
ES : polster
MS : Ø
24h : axial vasculature
36h : axial vasculature, liver primordium, median fin fold, posterior branchial arches
48h : axial vasculature, liver primordium, median fin fold, posterior branchial arches, pancreas
5d : instestinal bulb",,T3,,DX503603,0.65,3,_,,,PCR,ZDB-GENE-040724-212,
V485,,EU1510,si:busm1-25n23.2,,,,,,,si:busm1-25n23.2,,,,,,EU1510,,"G : forerunner cells
ES : axis, Küpffer vesicle
MS : ventral spinal chord, pronephric ducts
24h : ventral spinal chord, pronephric ducts, zona limitans
36-48h :ventral spinal chord, zona limitans, nose, lateral line neuromasts
5d : nose, lateral line neuromasts
",,T3,,DX503665,0.45,1,,,,PCR,ZDB-GENE-040724-15,
V486,,EU1551,si:dkey-204f11.43p,,,,,,,si:dkey-204f11.43p,,,,,NR,EU1551 ,,NR weak,,T3,,DX503755,0.5,,,,,PCR,,
V487,,EU1601,mep1a.1,,,,,,,"meprin A, alpha (PABA peptide hydrolase), tandem duplicate 1",membrane,peptidase activity ; metal ion binding ; hydrolase activity ; metallopeptidase activity ; metalloendopeptidase activity ; zinc ion binding,proteolysis,,,EU1601,,"G-MS :  Ø
24-48h : hindbrain, midbrain marginla zone, stronger in lateral posterior tegmentum at 36H and later
48h : cerebellum",,T3,,DX504101,0.4507,3,,,,PCR,ZDB-GENE-041001-209,
V488,,EU1652,slc10a4,,,,,,,"solute carrier family 10, member 4",membrane ; integral component of plasma membrane ; integral component of membrane,bile acid:sodium symporter activity,NA,,,EU1652,,"G - ES : Ø
MS : ventral mesoderm
24 h : blood, ventral spinal chord neurons (motorneurons)
36 h : same + nuclei in longitudinal stripe in hindbrain
48 h : same + blood
5 d : same + nucleus in posterior midbrain",,T3,,DX503978,0.8,2,,,,PCR,ZDB-GENE-041014-249,
V489,,EU1705,ptgs2b,,,,,,,prostaglandin-endoperoxide synthase 2b,NA,prostaglandin-endoperoxide synthase activity ; peroxidase activity ; heme binding,cyclooxygenase pathway ; response to oxidative stress ; regulation of blood pressure ; oxidation-reduction process ; inflammatory response ; prostaglandin biosynthetic process ; cellular response to organic cyclic compound,,,EU1705,,"G-24h : evl, periderm
MS ; tail bud",,T3,,DX503997,0.607,2,,,,PCR,ZDB-GENE-041014-323,
V49,V449,CB1024,mibp,,,,,,,muscle-specific beta 1 integrin binding protein,NA,transferase activity ; kinase activity,phosphorylation,,,GA878,,cell proliferation,,T7,ABJ249-ABJ250,CF924895,1.2,2,sending CB,,,pBK CMV,ZDB-GENE-030404-1,
